n_batteries,rho_agents,run,feeder_limit_kw,sync_metric,violation_fraction,peak_charge_kw,peak_charge_ratio,peak_discharge_kw,peak_discharge_ratio,mean_abs_aggregate_power_kw,mean_abs_aggregate_power_ratio,fraction_charging_mean,fraction_charging_peak,fraction_discharging_mean,fraction_discharging_peak,max_feeder_loading_ratio,mean_feeder_loading_ratio,mean_headroom_before_battery_kw,min_headroom_before_battery_kw,mean_headroom_after_battery_kw,min_headroom_after_battery_kw,mean_initial_soc,low_soc_fraction,high_soc_fraction
10,0.05263157894736842,0,60.0,1.3931686003484236,0.0,23.415874613225174,0.3902645768870862,22.295132082754524,0.3715855347125754,10.027603151571503,0.16712671919285838,0.1416666666666667,0.8,0.18333333333333335,0.8,0.9058635184269481,0.5012977604098682,28.629929377013013,22.42501952553077,29.922134375407907,5.648188894383111,0.48267816774666716,0.2,0.1
10,0.05263157894736842,1,60.0,1.5686392713374875,0.041666666666666664,30.88935984865739,0.5148226641442898,36.35434934915743,0.6059058224859571,13.75158507037696,0.22919308450628267,0.22083333333333333,0.9,0.15833333333333335,0.8,1.018653638146345,0.5011467593067982,30.76157235556593,23.413150746794912,29.931194441592112,-1.1192182887807007,0.5094783651171008,0.3,0.3
10,0.05263157894736842,2,60.0,1.2961849766268696,0.0,20.836756110063078,0.3472792685010513,19.977535748834054,0.33295892914723424,8.54409028614324,0.142401504769054,0.09999999999999999,0.6,0.15,0.5,0.8972709231251148,0.47005874524427976,30.18531142113619,23.37417881114726,31.796475285343217,6.163744612493112,0.49646843254065826,0.2,0.3
10,0.05263157894736842,3,60.0,1.4609231287944748,0.0,25.164237646381267,0.4194039607730211,21.71571074796833,0.36192851246613883,11.65814804930208,0.194302467488368,0.16666666666666666,0.7,0.19583333333333333,0.8,0.9814475238369489,0.4995894055666135,29.648018383677442,26.159005208734193,30.02463566600319,1.113148569783064,0.27996506021073003,0.9,0.0
10,0.05263157894736842,4,60.0,1.5369040415524093,0.0,25.849214926133282,0.430820248768888,36.92317450119703,0.6153862416866172,12.142429048945461,0.20237381748242436,0.16666666666666666,0.7,0.1875,0.9,0.9261567097088649,0.48260497536023195,29.4885727094024,22.17732019591682,31.043701478386083,4.430597417468107,0.5308252590448621,0.2,0.5
10,0.05263157894736842,5,60.0,1.50929390934921,0.0,29.924447229413115,0.49874078715688525,46.66308291731161,0.7777180486218602,10.039903866465538,0.16733173110775898,0.1708333333333333,0.8,0.17500000000000002,1.0,0.9563740587115866,0.46154621441953325,30.6867560462438,24.26762228638622,32.307227134828004,2.6175564773048023,0.5406015476943871,0.1,0.3
10,0.05263157894736842,6,60.0,1.4826965448462657,0.0,15.888063692900232,0.2648010615483372,45.0,0.75,11.478102676108485,0.19130171126847476,0.18333333333333335,0.6,0.17500000000000002,0.9,0.8698236413577836,0.4771076062906457,30.24228159777987,23.270046036510287,31.373543622561257,7.8105815185329845,0.5589797670265902,0.2,0.4
10,0.05263157894736842,7,60.0,1.417732396640094,0.041666666666666664,25.776038083621,0.42960063472701665,20.66089588671395,0.3443482647785658,10.533951031176455,0.17556585051960757,0.14166666666666666,0.7,0.17499999999999996,0.6,1.0027906566471114,0.49411102631159914,29.29133213758874,22.200123371691653,30.353338421304056,-0.16743939882668712,0.4361824342935073,0.5,0.3
10,0.05263157894736842,8,60.0,1.4682821506512227,0.0,28.120153419952253,0.4686692236658709,40.53083155022969,0.6755138591704949,12.515100716587773,0.20858501194312953,0.17499999999999996,0.8,0.2041666666666667,0.9,0.9861779922118942,0.4809266965393513,29.996174336327343,22.942025145041754,31.144398207638915,0.829320467286351,0.5606042064507555,0.2,0.5
10,0.05263157894736842,9,60.0,1.7642748298775583,0.0,28.782232194279686,0.47970386990466146,31.799635132366642,0.5299939188727774,13.586995742511716,0.22644992904186192,0.2625,0.8,0.17916666666666667,0.7,0.9354362971519472,0.4980024308508317,30.666734147599055,24.514007734756497,30.1198541489501,3.873822170883166,0.45766337555349584,0.4,0.1
